index,zone,district,station,Camera Count,Working Cameras
0,EAST ZONE,Kilpauk,G1 VEPERY,607,607
1,EAST ZONE,Kilpauk,G2 PERIAMET,264,264
2,EAST ZONE,Kilpauk,G3 KILPAUK,670,670
3,EAST ZONE,Kilpauk,G5 SEC. COLONY,287,287
4,EAST ZONE,Kilpauk,G7 CHETPET,276,276
5,EAST ZONE,Kilpauk,K2 AYANAVARAM,479,479
6,EAST ZONE,Kilpauk,K6 T.P.CHATRAM,246,246
7,EAST ZONE,Kilpauk,K7 ICF,76,76
8,EAST ZONE,MYLAPORE DISTRICT,D3 ICE HOUSE,138,138
9,EAST ZONE,MYLAPORE DISTRICT,D5 MARINA,28,28
10,EAST ZONE,MYLAPORE DISTRICT,E1 MYLAPORE,306,306
11,EAST ZONE,MYLAPORE DISTRICT,E2 ROYAPETTAH,476,476
12,EAST ZONE,MYLAPORE DISTRICT,E4 ABIRAMAPURAM,499,499
13,EAST ZONE,MYLAPORE DISTRICT,E5 FORESHORE ESTATE,307,307
14,EAST ZONE,MYLAPORE DISTRICT,J4 KOTTURPURAM,342,342
15,EAST ZONE,TRIPLICANE DISTRICT,D1 TRIPLICANE,246,246
16,EAST ZONE,TRIPLICANE DISTRICT,D2 ANNA SALAI,438,438
17,EAST ZONE,TRIPLICANE DISTRICT,D4 ZAM BAZAAR,330,330
18,EAST ZONE,TRIPLICANE DISTRICT,D6 ANNA SQUARE,12,12
19,EAST ZONE,TRIPLICANE DISTRICT,F1 CHINTADRIPET,352,352
20,EAST ZONE,TRIPLICANE DISTRICT,F2 EGMORE,702,702
21,EAST ZONE,TRIPLICANE DISTRICT,F3 NUNGAMBAKKAM,526,526
22,EAST ZONE,TRIPLICANE DISTRICT,F4 Thousand Lights,304,304
23,EAST ZONE,TRIPLICANE DISTRICT,F5 CHOOLAIMEDU PS,941,941
24,NORTH ZONE,Flower Bazaar District,B1 North Beach,189,189
25,NORTH ZONE,Flower Bazaar District,B2,231,176
26,NORTH ZONE,Flower Bazaar District,B3 FORT PS,38,21
27,NORTH ZONE,Flower Bazaar District,B5 HARBOUR,38,38
28,NORTH ZONE,Flower Bazaar District,C1 FLOWER BAZAAR,427,361
29,NORTH ZONE,Flower Bazaar District,C2 ELEPHANT GATE,621,313
30,NORTH ZONE,Flower Bazaar District,C3 SEVENWELLS,277,270
31,NORTH ZONE,Flower Bazaar District,C5 KOTHAVALCHAVADI,176,176
32,NORTH ZONE,Flower Bazaar District,N3 MUTHIALPET,266,241
33,NORTH ZONE,MADHAVARAM DISTRICT,M1 MADHAVARAM PS,287,287
34,NORTH ZONE,MADHAVARAM DISTRICT,M2 MMCOLONY PS,126,126
